,식당명,도로명주소,지번주소,식당위도,식당경도,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
1666,청돈참숯구이,전라북도 전주시 완산구 동문길 36,전라북도 전주시 완산구 풍남동2가 21-4,35.8427729,127.11059650000001,,,,,,,,,,,,,,,,,,,,,,,
1698,이디야커피 전주평화사거리점,전라북도 전주시 완산구 모악로 4764 백산한의원,전라북도 전주시 완산구 풍남동3가 16-21,35.794498,127.1327328,,,,,,,,,,,,,,,,,,,,,,,
2039,안전빵,전라북도 전주시 완산구 충경로 112,전라북도 전주시 완산구 풍남동1가 10-1,35.8196569,127.1509912,,,,,,,,,,,,,,,,,,,,,,,
2042,장가네 왕족발,전라북도 전주시 완산구 동문길 24,전라북도 전주시 완산구 풍남동2가 6-2 장가네왕족발,35.8193066,127.1525132,,,,,,,,,,,,,,,,,,,,,,,
2044,길목집,전라북도 전주시 완산구 동문길 64,전라북도 전주시 완산구 풍남동1가 17-1,35.8186912,127.150503,,,,,,,,,,,,,,,,,,,,,,,
2080,맛스넥 하우스,전라북도 전주시 완산구 경기전길 15,전라북도 전주시 완산구 풍남동1가 15-1 유니헤어,35.818787,127.15028329999998,,,,,,,,,,,,,,,,,,,,,,,
2083,삼미당,전라북도 전주시 완산구 경기전길 11,전라북도 전주시 완산구 풍남동1가 14-1,35.8189214,127.15031370000001,,,,,,,,,,,,,,,,,,,,,,,
2096,매당,전라북도 전주시 완산구 은행로 20-4,전라북도 전주시 완산구 풍남동1가 52-1,35.8184129,127.15159070000001,,,,,,,,,,,,,,,,,,,,,,,
2098,할리스커피 전주한옥마을점,전라북도 전주시 완산구 은행로 16,전라북도 전주시 완산구 풍남동1가 53-3,35.818487899999994,127.15169979999999,,,,,,,,,,,,,,,,,,,,,,,
2100,전주전집,전라북도 전주시 완산구 동문길 36,전라북도 전주시 완산구 풍남동2가 21-4 화전한문학원,35.8191274,127.15193459999999,,,,,,,,,,,,,,,,,,,,,,,
2104,한옥마을 커피로드,전라북도 전주시 완산구 동문길 33,전라북도 전주시 완산구 풍남동2가 24 한옥마을 커피로드,35.8190129,127.1521242,,,,,,,,,,,,,,,,,,,,,,,
2106,전대전,전라북도 전주시 완산구 동문길 21,전라북도 전주시 완산구 풍남동2가 27 기린액자,35.8191734,127.1526719,,,,,,,,,,,,,,,,,,,,,,,
2113,허가낸닭발,전라북도 전주시 완산구 동문길 64,전라북도 전주시 완산구 풍남동1가 17-1,35.8186958,127.15049540000001,,,,,,,,,,,,,,,,,,,,,,,
2118,레디오스타,전라북도 전주시 완산구 동문길 61,전라북도 전주시 완산구 풍남동1가 42-1 일신한지방,35.8185306,127.1505973,,,,,,,,,,,,,,,,,,,,,,,
2195,아그배,전라북도 전주시 완산구 어진길 59,전라북도 전주시 완산구 풍남동3가 84-4,35.8173229,127.1514342,,,,,,,,,,,,,,,,,,,,,,,
2197,슈슈레인,전라북도 전주시 완산구 어진길 54,전라북도 전주시 완산구 풍남동1가 58-10,35.817536100000005,127.15158229999999,,,,,,,,,,,,,,,,,,,,,,,
2201,더 스토리,전라북도 전주시 완산구 경기전길 87,전라북도 전주시 완산구 풍남동3가 67-18,35.81562,127.1509488,,,,,,,,,,,,,,,,,,,,,,,
2203,양반가,전라북도 전주시 완산구 최명희길 30-2,전라북도 전주시 완산구 풍남동3가 79-2 양반가,35.81616270000001,127.1512185,,,,,,,,,,,,,,,,,,,,,,,
2207,달이야기,전라북도 전주시 완산구 최명희길 20,전라북도 전주시 완산구 풍남동3가 47-3 다로,35.8162388,127.15248359999998,,,,,,,,,,,,,,,,,,,,,,,
2210,설빙 한옥마을점,전라북도 전주시 완산구 은행로 33,전라북도 전주시 완산구 풍남동3가 36-15,35.8170087,127.15230520000001,,,,,,,,,,,,,,,,,,,,,,,
2213,조선옥,전라북도 전주시 완산구 한지길 89,전라북도 전주시 완산구 풍남동3가 24-1 전주한옥마을 전망,35.816362899999994,127.1540153,,,,,,,,,,,,,,,,,,,,,,,
2215,고래등,전라북도 전주시 완산구 최명희길 3,전라북도 전주시 완산구 풍남동3가 23-10,35.8163578,127.1542083,,,,,,,,,,,,,,,,,,,,,,,
2218,모심,전라북도 전주시 완산구 은행로 58,전라북도 전주시 완산구 풍남동3가 64-2,35.8148693,127.15242659999998,,,,,,,,,,,,,,,,,,,,,,,
2221,호떡당 전주한옥마을점,전라북도 전주시 완산구 은행로 54,전라북도 전주시 완산구 풍남동3가 72-15,35.8151262,127.1524065,,,,,,,,,,,,,,,,,,,,,,,
2222,불꼬챙이,전라북도 전주시 완산구 은행로 54,전라북도 전주시 완산구 풍남동3가 72-15,35.8151262,127.1524065,,,,,,,,,,,,,,,,,,,,,,,
2226,미애담,전라북도 전주시 완산구 은행로 51-1,전라북도 전주시 완산구 풍남동3가 56-3,35.815457,127.15258590000002,,,,,,,,,,,,,,,,,,,,,,,
2229,포스트빈,전라북도 전주시 완산구 은행로 49,전라북도 전주시 완산구 풍남동3가 55-11,35.815632799999996,127.1525476,,,,,,,,,,,,,,,,,,,,,,,
2232,전주비빔빵,전라북도 전주시 완산구 은행로 45,전라북도 전주시 완산구 풍남동3가 49-1,35.815961200000004,127.15248570000001,,,,,,,,,,,,,,,,,,,,,,,
2238,다호,전라북도 전주시 완산구 태조로 12-3,전라북도 전주시 완산구 풍남동3가 59-1 다호,35.815217700000005,127.15317209999999,,,,,,,,,,,,,,,,,,,,,,,
2241,이목대,전라북도 전주시 완산구 한지길 113,전라북도 전주시 완산구 풍남동3가 16-21,35.815289899999996,127.1541485,,,,,,,,,,,,,,,,,,,,,,,
2249,나들벌,전라북도 전주시 완산구 최명희길 30-3,전라북도 전주시 완산구 풍남동3가 79-1 나들벌,35.815998799999996,127.1512587,,,,,,,,,,,,,,,,,,,,,,,
2252,고궁 수라간,전라북도 전주시 완산구 은행로 31,전라북도 전주시 완산구 풍남동3가 36-3,35.817221999999994,127.1522759,,,,,,,,,,,,,,,,,,,,,,,
2253,교동 떡갈비,전라북도 전주시 완산구 은행로 52,전라북도 전주시 완산구 풍남동3가 73-2,35.8153483,127.1522631,,,,,,,,,,,,,,,,,,,,,,,
2270,두리반,전라북도 전주시 완산구 최명희길 25,전라북도 전주시 완산구 풍남동3가 74-5 교동아트스튜디오,35.8158967,127.1517534,,,,,,,,,,,,,,,,,,,,,,,
2351,진짜문어꼬치,전라북도 전주시 완산구 태조로 22,전라북도 전주시 완산구 풍남동3가 65-1 문자향,35.8148475,127.15225420000002,,,,,,,,,,,,,,,,,,,,,,,
125,문꼬치 은행로점,전라북도 전주시 완산구 은행로 81,전라북도 전주시 완산구 교동 125-1,35.812668,127.15301640000001,,,,,,,,,,,,,,,,,,,,,,,
368,까다로운 입맛,전라북도 전주시 완산구 은행로 72,전라북도 전주시 완산구 교동 81-2,35.8136266,127.1526433,,,,,,,,,,,,,,,,,,,,,,,
434,츄남 은행로,전라북도 전주시 완산구 은행로 74,전라북도 전주시 완산구 교동 91-2,35.8132749,127.1527531,,,,,,,,,,,,,,,,,,,,,,,
472,쥬스식스플러스,전라북도 전주시 완산구 향교길 111,전라북도 전주시 완산구 교동 37-4,35.8120781,127.15568970000001,,,,,,,,,,,,,,,,,,,,,,,
477,교동석쇠불고기,전라북도 전주시 완산구 은행로 70,전라북도 전주시 완산구 교동 80-5,35.813775,127.152542,,,,,,,,,,,,,,,,,,,,,,,
497,우전재 한식,전라북도 전주시 완산구 향교길 85 우전재 한식,전라북도 전주시 완산구 교동 132-2,35.8120607,127.15414009999998,,,,,,,,,,,,,,,,,,,,,,,
742,초가카페,전라북도 전주시 완산구 오목대길 25,전라북도 전주시 완산구 교동 47,35.813120700000006,127.1549057,,,,,,,,,,,,,,,,,,,,,,,
764,풍경,전라북도 전주시 완산구 태조로 45 2층,전라북도 전주시 완산구 교동 278-1,35.813959999999994,127.1500288,,,,,,,,,,,,,,,,,,,,,,,
769,착한커피,전라북도 전주시 완산구 태조로 29,전라북도 전주시 완산구 교동 71-4,35.814366799999995,127.151676,,,,,,,,,,,,,,,,,,,,,,,
828,까다로운 입맛,전라북도 전주시 완산구 은행로 72,전라북도 전주시 완산구 교동 81-2,35.813775,127.152542,,,,,,,,,,,,,,,,,,,,,,,
842,문강정,전라북도 전주시 완산구 경기전길 121,전라북도 전주시 완산구 교동 79-4,35.8139696,127.1512717,,,,,,,,,,,,,,,,,,,,,,,
894,한옥김밥,전라북도 전주시 완산구 경기전길 127,전라북도 전주시 완산구 교동 77-1,35.813734100000005,127.1513332,,,,,,,,,,,,,,,,,,,,,,,
926,교동육전,전라북도 전주시 완산구 태조로 25,전라북도 전주시 완산구 교동 70-6,35.8144184,127.15201950000001,,,,,,,,,,,,,,,,,,,,,,,
