식당명,도로명주소,지번주소,식당위도,식당경도,,,,,,,,,,,,,,,,,,,,,,,
피자애 송천점,전라북도 전주시 덕진구 솔내로 131,전라북도 전주시 덕진구 송천동1가 116,35.8616487,127.126325,,,,,,,,,,,,,,,,,,,,,,,
일등낙지 전주본점,전라북도 전주시 완산구 홍산남로 59 일등낙지,전라북도 전주시 완산구 효자동3가 1534-6,35.8161239,127.1083255,,,,,,,,,,,,,,,,,,,,,,,
비공식,전라북도 전주시 완산구 전주객사1길 46-3 Brick Art Studio,전라북도 전주시 완산구 다가동4가 90-6,35.818546,127.1393333,,,,,,,,,,,,,,,,,,,,,,,
짝태포차,전라북도 전주시 완산구 우전2길 71 1층,전라북도 전주시 완산구 효자동2가 1329-2,35.8104556,127.1067357,,,,,,,,,,,,,,,,,,,,,,,
엘디아,전라북도 전주시 덕진구 사근1길 57,전라북도 전주시 덕진구 송천동2가 185-1,35.8664558,127.1335718,,,,,,,,,,,,,,,,,,,,,,,
자담치킨 전주송천대명점,전라북도 전주시 덕진구 시천로 31,전라북도 전주시 덕진구 송천동1가 626-55,35.8620107,127.1144202,,,,,,,,,,,,,,,,,,,,,,,
별란통갈비 앤 치킨,전라북도 전주시 덕진구 송천1길 19,전라북도 전주시 덕진구 송천동1가 403-1,35.8571637,127.1187803,,,,,,,,,,,,,,,,,,,,,,,
라임그린커피,전라북도 전주시 덕진구 솔내9길 4,전라북도 전주시 덕진구 송천동1가 101-30,35.8624828,127.1259735,,,,,,,,,,,,,,,,,,,,,,,
객주,전라북도 전주시 완산구 동문길 77,전라북도 전주시 완산구 경원동2가  29-1,35.8183078,127.1497795,,,,,,,,,,,,,,,,,,,,,,,
아웃닭 전북대점,전라북도 전주시 덕진구 명륜3길 18-2 1층,전라북도 전주시 덕진구 덕진동1가 1264-24,35.8425519,127.1280278,,,,,,,,,,,,,,,,,,,,,,,
바우네나주곰탕 전주본점,전라북도 전주시 덕진구 덕진광장로 2,전라북도 전주시 덕진구 덕진동1가 1276-4,35.8436874,127.1244101,,,,,,,,,,,,,,,,,,,,,,,
유례있는카페,전라북도 전주시 완산구 용머리로 105,전라북도 전주시 완산구 효자동1가 298-4,35.8062967,127.1217095,,,,,,,,,,,,,,,,,,,,,,,
가비온,전라북도 전주시 덕진구 송천4길 32-18 가비온,전라북도 전주시 덕진구 송천동1가 840-6,35.8624948,127.1183426,,,,,,,,,,,,,,,,,,,,,,,
안티코,전라북도 전주시 완산구 전주객사3길 12-21 안티코,전라북도 전주시 완산구 고사동 424-2,35.8181596,127.143284,,,,,,,,,,,,,,,,,,,,,,,
새우락 전북대점,전라북도 전주시 덕진구 명륜2길 15-5 1층,전라북도 전주시 덕진구 덕진동1가 1264-13,35.8421377,127.1283902,,,,,,,,,,,,,,,,,,,,,,,
꿀순이&꿀돌이 효자점,전라북도 전주시 완산구 마전들로 4 1층 101호,전라북도 전주시 완산구 효자동3가 1670-5,35.820867,127.0959713,,,,,,,,,,,,,,,,,,,,,,,
더플라잉팬,전라북도 전주시 완산구 풍남문2길 53,전라북도 전주시 완산구 전동 303-181,35.8121611,127.1473519,,,,,,,,,,,,,,,,,,,,,,,
참치라이더 전주도청점,전라북도 전주시 완산구 홍산중앙로 33,전라북도 전주시 완산구 효자동3가 1535-5,35.8164368,127.1087082,,,,,,,,,,,,,,,,,,,,,,,
"또와, 롱",전라북도 전주시 완산구 서곡4길 45-4,전라북도 전주시 완산구 효자동3가 1472-3,35.8324154,127.1030372,,,,,,,,,,,,,,,,,,,,,,,
과일정원,"전라북도 전주시 덕진구 가련산로 10 109,110호",전라북도 전주시 덕진구 덕진동2가 695-2,35.8406724,127.1105504,,,,,,,,,,,,,,,,,,,,,,,
슬로우카페,전라북도 전주시 덕진구 두간11길 17,전라북도 전주시 덕진구 송천동1가 828-1,35.8638501,127.1150158,,,,,,,,,,,,,,,,,,,,,,,
커피꽃,전라북도 전주시 완산구 팔달로 190,전라북도 전주시 완산구 경원동3가 69-3,35.8192734,127.1469299,,,,,,,,,,,,,,,,,,,,,,,
신전떡볶이 전주객사점,전라북도 전주시 완산구 전주객사4길 44-9,전라북도 전주시 완산구 고사동 158-3,35.8199591,127.1442109,,,,,,,,,,,,,,,,,,,,,,,
전주밥상,전라북도 전주시 완산구 전주객사3길 49,전라북도 전주시 완산구 고사동 340-4,35.8193048,127.1417732,,,,,,,,,,,,,,,,,,,,,,,
자연애,전라북도 전주시 완산구 서곡3길 8,전라북도 전주시 완산구 효자동3가 1418-4,35.8361889,127.1012294,,,,,,,,,,,,,,,,,,,,,,,
가만히숨은찻집,전라북도 전주시 완산구 어진길 123,전라북도 전주시 완산구 전동 2-4,35.81652,127.1480432,,,,,,,,,,,,,,,,,,,,,,,
여유,전라북도 전주시 완산구 홍산4길 20-2,전라북도 전주시 완산구 효자동3가 1528-7,35.8182932,127.1108658,,,,,,,,,,,,,,,,,,,,,,,
바사삭,전라북도 전주시 완산구 효동2길 18,전라북도 전주시 완산구 효자동1가 201-2,35.8049425,127.1266132,,,,,,,,,,,,,,,,,,,,,,,
고씨네 전북대점,전라북도 전주시 덕진구 명륜4길 17,전라북도 전주시 덕진구 덕진동1가 1261-4,35.8434547,127.1265453,,,,,,,,,,,,,,,,,,,,,,,
세븐테라스,"전라북도 전주시 완산구 유연로 28 콜로세움아울렛 1,2층",전라북도 전주시 완산구 효자동3가 1019-1,35.8224704,127.0890287,,,,,,,,,,,,,,,,,,,,,,,
교촌치킨 솔내점,전라북도 전주시 덕진구 송천로 42,전라북도 전주시 덕진구 송천동1가 405-1,35.8571423,127.1186254,,,,,,,,,,,,,,,,,,,,,,,
양대감600,전라북도 전주시 덕진구 붓내3길 17-1,전라북도 전주시 덕진구 송천동2가 244-25,35.8669306,127.1233661,,,,,,,,,,,,,,,,,,,,,,,
전주예촌소바,전라북도 전주시 완산구 소태정4길 23-4 예촌소바,전라북도 전주시 완산구 효자동2가 1321-5,35.8052309,127.1029979,,,,,,,,,,,,,,,,,,,,,,,
수쿠수쿠샤브와족발,전라북도 전주시 완산구 효동3길 17-6,전라북도 전주시 완산구 효자동1가 803,35.8048111,127.1292995,,,,,,,,,,,,,,,,,,,,,,,
라붐 데세르,전라북도 전주시 완산구 홍산남로 59,전라북도 전주시 완산구 효자동3가 1534-6,35.81595,127.1083293,,,,,,,,,,,,,,,,,,,,,,,
팔레티,전라북도 전주시 완산구 전주객사1길 83,전라북도 전주시 완산구 다가동4가 120,35.8198644,127.1382796,,,,,,,,,,,,,,,,,,,,,,,
마카롱하우스,전라북도 전주시 덕진구 두간11길 13 102호,전라북도 전주시 덕진구 송천동1가 830-11,35.8641926,127.1150459,,,,,,,,,,,,,,,,,,,,,,,
이비가짬뽕 전주 송천점,전라북도 전주시 덕진구 동부대로 1072,전라북도 전주시 덕진구 송천동2가 167,35.8700105,127.1298634,,,,,,,,,,,,,,,,,,,,,,,
골목집 한우한돈 정육식당,전라북도 전주시 완산구 우전2길 71-21,전라북도 전주시 완산구 효자동2가 1328-2,35.8105846,127.1063598,,,,,,,,,,,,,,,,,,,,,,,
김다임육쪽마늘빵,전라북도 전주시 완산구 풍남문2길 63 김다임,전라북도 전주시 완산구 전동3가 2-242,35.8124196,127.1466133,,,,,,,,,,,,,,,,,,,,,,,
다미참치,전라북도 전주시 덕진구 두간로 10  ,전라북도 전주시 덕진구 송천동1가 831-3,35.8651682,127.1155448,,,,,,,,,,,,,,,,,,,,,,,
생고기제작소 송천점,전라북도 전주시 덕진구 송천중앙로 126,전라북도 전주시 덕진구 송천동1가 395-3,35.8580774,127.1211328,,,,,,,,,,,,,,,,,,,,,,,
서유기중화요리,전라북도 전주시 완산구 우전로 204 1층 서유기 중화요리,전라북도 전주시 완산구 효자동2가 1256-4,35.8127199,127.1020348,,,,,,,,,,,,,,,,,,,,,,,
돔배삼겹,전라북도 전주시 덕진구 시천로 29-8,전라북도 전주시 덕진구 송천동1가 626-38,35.8620055,127.1139582,,,,,,,,,,,,,,,,,,,,,,,
익소,전라북도 전주시 완산구 전주객사1길 46-3 2층 익소,전라북도 전주시 완산구 다가동4가 90-6,35.8185392,127.1393112,,,,,,,,,,,,,,,,,,,,,,,
오중사소갈비살참숯불구이,전라북도 전주시 덕진구 가리내9길 13,전라북도 전주시 덕진구 덕진동2가 678-1,35.8427873,127.1103556,,,,,,,,,,,,,,,,,,,,,,,
미스터면장 전주점,전라북도 전주시 완산구 쑥고개로 303,전라북도 전주시 완산구 효자동2가  750-1,35.802086,127.0981059,,,,,,,,,,,,,,,,,,,,,,,
예술이야,전라북도 전주시 완산구 효자천변1길 30-12,전라북도 전주시 완산구 효자동1가  663-6,35.7995764,127.1142908,,,,,,,,,,,,,,,,,,,,,,,
