|ê,∏	
1/4/2015,44
1/11/2015,66
1/18/2015,44
1/25/2015,36
2/1/2015,7
2/8/2015,22
2/15/2015,81
2/22/2015,57
3/1/2015,61
3/8/2015,22
3/15/2015,37
3/22/2015,31
3/29/2015,37
4/5/2015,44
4/12/2015,22
4/19/2015,44
4/26/2015,88
5/3/2015,14
5/10/2015,21
5/17/2015,95
5/24/2015,14
5/31/2015,21
6/7/2015,14
6/14/2015,7
6/21/2015,28
6/28/2015,21
7/5/2015,21
7/12/2015,21
7/19/2015,48
7/26/2015,42
8/2/2015,82
8/9/2015,77
8/16/2015,14
8/23/2015,42
8/30/2015,21
9/6/2015,28
9/13/2015,50
9/20/2015,43
9/27/2015,85
10/4/2015,83
10/11/2015,14
10/18/2015,34
10/25/2015,14
11/1/2015,47
11/8/2015,7
11/15/2015,39
11/22/2015,47
11/29/2015,20
12/6/2015,33
12/13/2015,42
12/20/2015,7
12/27/2015,58
1/3/2016,33
1/10/2016,20
1/17/2016,20
1/24/2016,33
1/31/2016,28
2/7/2016,50
2/14/2016,26
2/21/2016,39
2/28/2016,26
3/6/2016,33
3/13/2016,13
3/20/2016,46
3/27/2016,20
4/3/2016,38
4/10/2016,25
4/17/2016,13
4/24/2016,26
5/1/2016,71
5/8/2016,25
5/15/2016,51
5/22/2016,31
5/29/2016,19
6/5/2016,12
6/12/2016,19
6/19/2016,25
6/26/2016,31
7/3/2016,19
7/10/2016,12
7/17/2016,12
7/24/2016,44
7/31/2016,38
8/7/2016,39
8/14/2016,14
8/21/2016,32
8/28/2016,19
9/4/2016,13
9/11/2016,27
9/18/2016,25
9/25/2016,50
10/2/2016,25
10/9/2016,25
10/16/2016,37
10/23/2016,45
10/30/2016,33
11/6/2016,32
11/13/2016,6
11/20/2016,49
11/27/2016,36
12/4/2016,29
12/11/2016,18
12/18/2016,25
12/25/2016,25
1/1/2017,18
1/8/2017,53
1/15/2017,17
1/22/2017,19
1/29/2017,28
2/5/2017,39
2/12/2017,22
2/19/2017,6
2/26/2017,28
3/5/2017,23
3/12/2017,16
3/19/2017,38
3/26/2017,5
4/2/2017,22
4/9/2017,33
4/16/2017,16
4/23/2017,28
4/30/2017,73
5/7/2017,21
5/14/2017,24
5/21/2017,12
5/28/2017,37
6/4/2017,42
6/11/2017,37
6/18/2017,42
6/25/2017,37
7/2/2017,18
7/9/2017,25
7/16/2017,12
7/23/2017,41
7/30/2017,65
8/6/2017,64
8/13/2017,48
8/20/2017,36
8/27/2017,18
9/3/2017,30
9/10/2017,30
9/17/2017,24
9/24/2017,30
10/1/2017,100
10/8/2017,40
10/15/2017,47
10/22/2017,35
10/29/2017,29
11/5/2017,28
11/12/2017,22
11/19/2017,5
11/26/2017,5
12/3/2017,16
12/10/2017,11
12/17/2017,33
12/24/2017,17
12/31/2017,11
1/7/2018,26
1/14/2018,21
1/21/2018,5
1/28/2018,5
2/4/2018,5
2/11/2018,24
2/18/2018,21
2/25/2018,49
3/4/2018,27
3/11/2018,16
3/18/2018,32
3/25/2018,11
4/1/2018,31
4/8/2018,21
4/15/2018,11
4/22/2018,16
4/29/2018,32
5/6/2018,5
5/13/2018,35
5/20/2018,36
5/27/2018,5
6/3/2018,26
6/10/2018,10
6/17/2018,5
6/24/2018,16
7/1/2018,41
7/8/2018,16
7/15/2018,27
7/22/2018,21
7/29/2018,36
8/5/2018,25
8/12/2018,41
8/19/2018,20
8/26/2018,10
9/2/2018,20
9/9/2018,20
9/16/2018,26
9/23/2018,22
9/30/2018,21
10/7/2018,38
10/14/2018,21
10/21/2018,16
10/28/2018,22
11/4/2018,26
11/11/2018,5
11/18/2018,21
11/25/2018,5
12/2/2018,16
12/9/2018,11
12/16/2018,11
12/23/2018,17
12/30/2018,17
1/6/2019,32
1/13/2019,37
1/20/2019,27
1/27/2019,22
2/3/2019,23
2/10/2019,41
2/17/2019,21
2/24/2019,43
3/3/2019,22
3/10/2019,10
3/17/2019,10
3/24/2019,26
3/31/2019,26
4/7/2019,30
4/14/2019,10
4/21/2019,36
4/28/2019,42
5/5/2019,37
5/12/2019,20
5/19/2019,60
5/26/2019,30
6/2/2019,20
6/9/2019,25
6/16/2019,10
6/23/2019,20
6/30/2019,10
7/7/2019,5
7/14/2019,42
7/21/2019,11
7/28/2019,16
8/4/2019,11
8/11/2019,21
8/18/2019,15
8/25/2019,25
9/1/2019,19
9/8/2019,10
9/15/2019,34
9/22/2019,29
9/29/2019,15
10/6/2019,35
10/13/2019,29
10/20/2019,19
10/27/2019,29
11/3/2019,15
11/10/2019,19
11/17/2019,14
11/24/2019,5
12/1/2019,5
12/8/2019,28
12/15/2019,31
12/22/2019,19
12/29/2019,23
